data;taxa_des;valor_selic
2015-01-01;11.96159122085048;11.82
2015-02-01;11.902897415818323;12.15
2015-03-01;13.034188034188036;12.58
2015-04-01;14.147828295656591;12.68
2015-05-01;13.130434782608697;13.15
2015-06-01;12.696148359486447;13.58
2015-07-01;12.216248506571088;13.69
2015-08-01;14.905149051490515;14.15
2015-09-01;13.636363636363635;14.15
2015-10-01;13.699049954030034;14.15
2015-11-01;14.639299728342891;14.15
2015-12-01;14.294497387027361;14.15
2016-01-01;16.916693265240983;14.15
2016-02-01;16.46813579511614;14.15
2016-03-01;16.742857142857144;14.15
2016-04-01;17.985185185185184;14.15
2016-05-01;17.21237608891559;14.15
2016-06-01;17.38738738738739;14.15
2016-07-01;18.40034965034965;14.15
2016-08-01;19.261104192611043;14.15
2016-09-01;20.718901453957997;14.15
2016-10-01;19.470244238046096;14.05
2016-11-01;20.745920745920746;13.9
2016-12-01;18.197164078325457;13.65
2017-01-01;21.558092679650773;13.17
2017-02-01;21.815763219155304;12.82
2017-03-01;21.059431524547804;12.15
2017-04-01;20.90580899245159;11.59
2017-05-01;21.954355512696882;11.15
2017-06-01;19.52861952861953;10.15
2017-07-01;19.742489270386265;10.01
2017-08-01;19.638069705093834;9.15
2017-09-01;19.479201893811297;8.35
2017-10-01;19.889142484512554;8.01
2017-11-01;18.420144877543983;7.4
2017-12-01;17.77251184834123;7.0
2018-01-01;19.52232606438214;6.9
2018-02-01;19.769021739130434;6.72
2018-03-01;19.690992767915844;6.58
2018-04-01;20.361687876758204;6.4
2018-05-01;20.397350993377483;6.4
2018-06-01;18.901242642249834;6.4
2018-07-01;19.050894085281982;6.4
2018-08-01;18.97506925207756;6.4
2018-09-01;18.240053944706673;6.4
2018-10-01;19.863247863247864;6.4
2018-11-01;19.01550910316925;6.4
2018-12-01;17.46253049843151;6.4
2019-01-01;20.52313883299799;6.4
2019-02-01;20.22071911712353;6.4
2019-03-01;20.16016713091922;6.4
2019-04-01;20.943459350953496;6.4
2019-05-01;18.575747396708095;6.4
2019-06-01;19.986675549633578;6.4
2019-07-01;17.195037904893177;6.4
2019-08-01;19.663299663299664;5.9
2019-09-01;19.51075204967801;5.71
2019-10-01;19.358204436056358;5.38
2019-11-01;19.205656822434705;4.9
2019-12-01;19.053109208813055;4.59
2020-01-01;18.9005615951914;4.4
2020-02-01;18.74801398156975;4.19
2020-03-01;19.41404871161313;3.95
2020-04-01;28.7396937573616;3.65
2020-05-01;20.78108204944464;3.01
2020-06-01;19.925950858296872;2.58
2020-07-01;19.761092150170647;2.15
2020-08-01;20.052945069490406;1.94
2020-09-01;17.823700355182435;1.9
2020-10-01;19.59986436080027;1.9
2020-11-01;17.987913259864914;1.9
2020-12-01;18.088386433710173;1.9
2021-01-01;19.752662315355547;1.9
2021-02-01;19.514767932489452;1.9
2021-03-01;21.548257372654156;2.23
2021-04-01;19.565932259125287;2.65
2021-05-01;18.93491124260355;3.29
2021-06-01;19.134170522141442;3.76
2021-07-01;18.33550065019506;4.15
2021-08-01;18.62911435357991;5.01
2021-09-01;17.458745874587457;5.43
2021-10-01;15.318711446196023;6.3
2021-11-01;16.69871794871795;7.65
2021-12-01;17.20974375197722;8.76
2022-01-01;18.519685039370078;9.15
2022-02-01;16.51376146788991;10.49
2022-03-01;17.31129132875858;11.15
2022-04-01;15.324421258558852;11.65
2022-05-01;16.211661611054936;12.51
2022-06-01;17.025377449405717;12.89
2022-07-01;15.66913248150639;13.15
2022-08-01;14.880752435337588;13.58
2022-09-01;15.636128196827453;13.65
2022-10-01;14.559636009099771;13.65
2022-11-01;14.535481659238943;13.65
2022-12-01;16.938562998958695;13.65
2023-01-01;17.58776503302051;13.65
2023-02-01;17.480368726527825;13.65
2023-03-01;16.174082494316337;13.65
2023-04-01;18.06152828316242;13.65
2023-05-01;16.458262926664414;13.65
2023-06-01;15.673662830060934;13.65
2023-07-01;17.45235707121364;13.65
2023-08-01;16.69460274891049;13.19
2023-09-01;16.01328903654485;12.97
2023-10-01;14.80865224625624;12.65
2023-11-01;16.130185979971387;12.17
2023-12-01;16.64816870144284;11.87
2024-01-01;;11.65
2024-02-01;;11.15
2024-03-01;;11.0
2024-04-01;;10.65
2024-05-01;;10.65
